# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_WITHIN_SAME_TREE -7389 9 5 1048603 1369828 5 /openedx/staticfiles/studio/xblock/resources/edx_sga/static/js/bower/jquery/src/outro.js
DUPTYPE_WITHIN_SAME_TREE -7389 9 5 1048603 1391144 5 /openedx/staticfiles/studio/xblock/resources/edx_sga/static/js/bower/jquery/src/outro.0b9c0e7d4b72.js
DUPTYPE_WITHIN_SAME_TREE -7389 5 5 1048603 1366252 5 /openedx/staticfiles/studio/js/bower/jquery/src/outro.js
DUPTYPE_FIRST_OCCURRENCE 18097 8 6 1048603 1382937 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_ignore/about/index.085d5d450c9c.html
DUPTYPE_WITHIN_SAME_TREE -18097 9 6 1048603 1367266 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_ignore/about/index.html
DUPTYPE_WITHIN_SAME_TREE -18097 8 6 1048603 1361285 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_ignore/static/example.txt
DUPTYPE_WITHIN_SAME_TREE -18097 9 6 1048603 1390552 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_ignore/static/example.085d5d450c9c.txt
DUPTYPE_WITHIN_SAME_TREE -18097 9 6 1048603 1390551 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_ignore/about/index.085d5d450c9c.html
DUPTYPE_WITHIN_SAME_TREE -18097 8 6 1048603 1361283 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_ignore/about/index.html
DUPTYPE_WITHIN_SAME_TREE -18097 8 6 1048603 1382938 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_ignore/static/example.085d5d450c9c.txt
DUPTYPE_WITHIN_SAME_TREE -18097 9 6 1048603 1367268 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_ignore/static/example.txt
DUPTYPE_FIRST_OCCURRENCE 21079 9 7 1048603 1382180 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/toy/about/2012_Fall/effort.88f1efb29dc2.html
DUPTYPE_WITHIN_SAME_TREE -21079 10 7 1048603 1367134 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/toy/about/2012_Fall/effort.html
DUPTYPE_WITHIN_SAME_TREE -21079 9 7 1048603 1361151 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/toy/about/2012_Fall/effort.html
DUPTYPE_WITHIN_SAME_TREE -21079 10 7 1048603 1389927 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/toy/about/2012_Fall/effort.88f1efb29dc2.html
DUPTYPE_FIRST_OCCURRENCE 18071 8 9 1048603 1383008 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_after_rename/assets/assets.cc0c8eb1758e.xml
DUPTYPE_WITHIN_SAME_TREE -18071 9 9 1048603 1390615 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_before_rename/assets/assets.cc0c8eb1758e.xml
DUPTYPE_WITHIN_SAME_TREE -18071 9 9 1048603 1367454 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_after_rename/assets/assets.xml
